"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U10","SOIC127P600-8N","204.724mil","822.835mil","204.724mil","822.835mil","279.724mil","917.323mil","T","270.00","AP2318M-ADJ"
"U9","SOT23-5AN","405.512mil","767.716mil","405.512mil","767.716mil","368.11mil","720.472mil","T","90.00","RT9706"
"NTLOGO","NOVENA_LOGO","1480.315mil","1429.134mil","1381.89mil","1527.559mil","1381.89mil","1527.559mil","T","0.00","Novena Logo"
"C20","CAPC1608N","149.606mil","1047.244mil","149.606mil","1047.244mil","181.102mil","1047.244mil","T","180.00","10uF, 10V, X5R, 20%"
"C19","CAPC1608N","547.244mil","846.457mil","547.244mil","846.457mil","515.748mil","846.457mil","T","360.00","10uF, 10V, X5R, 20%"
"U6","MP04A_N","413.386mil","1137.795mil","413.386mil","1137.795mil","299.213mil","1228.346mil","T","360.00","LM1117MP-3.3"
"U1","MUA08A_N","1500mil","933.071mil","1500mil","933.071mil","1582.677mil","894.685mil","T","180.00","DAC101C085CIMM/NOPB"
"R2","RESC1608N","905.512mil","803.15mil","905.512mil","803.15mil","938.976mil","803.15mil","T","180.00","4.7 ohm, 5% (DNP)"
"C5","CAPC1608N","1338.583mil","976.378mil","1338.583mil","976.378mil","1338.583mil","944.882mil","T","90.00","0.1uF, 25V, X5R, 20%"
"C4","CAPC1608N","1330.709mil","681.102mil","1330.709mil","681.102mil","1330.709mil","649.606mil","T","90.00","0.1uF, 25V, X5R, 20%"
"C3","CAPC1608N","1031.496mil","740.158mil","1031.496mil","740.158mil","1000mil","740.158mil","T","0.00","10uF, 10V, X5R, 20%"
"C2","CAPC1608N","1031.496mil","803.15mil","1031.496mil","803.15mil","1000mil","803.15mil","T","0.00","0.1uF, 25V, X5R, 20%"
"R5","RESC1608N","106.299mil","1192.913mil","106.299mil","1192.913mil","106.299mil","1159.449mil","T","90.00","1k, 1%"
"C14","CAPC1608N","62.992mil","-122.047mil","62.992mil","-122.047mil","62.992mil","-153.543mil","T","90.00","10uF, 10V, X5R, 20%"
